Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
RC-1715 - Chair,Egyptian,18TH,1370-1350 BCE,Amarna,Ebony,Furniture,459.jpg
RC-1716 - Dagger with Fish Handle,Mesopotamian,,1000 - 800 BCE,,Bronze,Persian,918.jpg
RC-1720 - Pharaoh Relief Fragment,Egyptian,19TH,1293-1185 BCE,New Kingdom,Limestone,Epigraphy,346.jpg
RC-1721 - Toutou-Tithoes Relief Fragment,Egyptian,,0 - 100 CE,Late Roman Period,Limestone,Epigraphy,667.jpg
RC-1722 - Akhenaten Torso Relief Frag,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,486.jpg
RC-1724 - Swimming Cattle Relief,Egyptian,5-6th,2195-2066 BCE,Old Kingdom,Limestone,Epigraphy,395.jpg
RC-1725 - Aton Symbol Relief Fragment,Egyptian,18TH,1580 - 1350 BCE,New Kingdom,Limestone,Epigraphy,266.jpg
RC-1726 - Pyramidion,Egyptian,18TH,1991 - 1782 BCE,New Kingdom,Limestone,Epigraphy,841.jpg
RC-1728 - Stele,Egyptian,25TH,712-656 BCE,3rd Intermediate,Limestone,Funerary,615.jpg
RC-1731 - Sistrum,Egyptian,,332-31 BCE,Ptolemaic,Glazed Faience,Musical Instruments,110.jpg
RC-1733 - Male Portrait Relief Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,224.jpg
RC-1734 - Aton and Gazelles Relief Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,551.jpg
RC-1735 - Offering Door of Henuti,Egyptian,6TH,Dynasty 5,Old Kingdom,Limestone,Funerary,814.jpg
RC-1736 - Seated Germa,Egyptian,26TH,588 - 568 BCE,3rd Intermediate,Limestone,Sculpture,1013.jpg
RC-1737 - Shedy-Ptah Relief Fragment,Egyptian,6TH,2400-2250? BCE,Old Kingdom,Limestone,Sculpture,131.jpg
RC-1741 - Offering Scene Relief Fragment,Egyptian,18TH,1253 - 35 BCE,Amarna,Sandstone,Epigraphy,231.jpg
RC-1743 - Osiris,Egyptian,,,,Bronze,Sculpture,345.jpg
RC-1744 - Romano Male Bust,Egyptian,,250 - 270 CE,Greco-Roman,Limestone,Sculpture,719.jpg
RC-1745 - Romano-Egyptian Vessel,Egyptian,,00 - 99 CE,Greco-Roman,Faience,Vessels,255.jpg
RC-1749 - Business Letter,Mesopotamian,,2004 - 1400 BCE,Old Assyrian,Clay,Assyrian,152.jpg
RC-1750 - Palette,Egyptian,,4000 BCE,Predynastic,Slate,Writing Materials,321.jpg
RC-1755 - Pharaoh Head,Egyptian,,1570 BCE - 323 CE,New Kingdom Or Later,Sandstone,Sculpture,1014.jpg
RC-1756 - Takelot Iii Relief Fragment,Egyptian,,304-30 BCE,Ptolemaic,Limestone,Sculpture,366.jpg
RC-1758 - Roman-Egyptian Bowl,Egyptian,,0 - 199 CE,Greco-Roman,Banded Calcite,Vessels,581.jpg
RC-1759 - Lady's Faiyum Portrait,Egyptian,,130 CE,Greco-Roman,Wood,Funerary,211.jpg
RC-1760 - Offering Scene Relief Fragment,Egyptian,12TH,1991-1782 BCE,Middle Kingdom,Limestone,Epigraphy,25.jpg
RC-1761 - Upper Torso Relief Fragment,Egyptian,,305 - 30 BCE,Ptolemaic,Limestone,Epigraphy,726.jpg
RC-1762 - Headrest,Egyptian,11 - 12TH,2133 - 1786 BCE,Middle Kingdom,Wood,Furniture,579.jpg
RC-1764 - Hapi/ Son of Horus,Egyptian,26 - 30TH,664 - 343 BCE,Late Period,Wood,Sculpture,1004.jpg
RC-1767 - Mask/ Coffin Fragment,Egyptian,20TH,1185-1070 BCE,New Kingdom,Wood,Funerary,11.jpg
RC-1768 - Shawabti,Egyptian,26TH,663 - 525 BCE,Saite Period,Faience,Ritual Objects,1015.jpg
RC-1769 - Seated Osiris,Egyptian,27 - 31ST,523 - 332 BCE,Late Period,Bronze,Sculpture,1016.jpg
RC-1771 - Weny Fragment,Egyptian,6TH,2400-2250? BCE,Old Kingdom,Limestone,Ritual Objects,624.jpg
RC-1772 - Child's Sandal/Left,Egyptian,18TH,1554 - 1320 BCE,New Kingdom,Papyrus,Toiletries,533.jpg
RC-1773 - Wesekh Collar,Egyptian,21 - 25TH,Saite Period,3rd Intermediate,Faience,Jewelry,1030.jpg
RC-1774 - Inspector of the Works Model,Egyptian,11TH,"2,000 BCE",Middle Kingdom,Wood,Funerary,22.jpg
RC-1777 - Usermontu's Coffin,Egyptian,26TH,664-525 BCE,Saite Period,wood and paint,Funerary,1017.jpg
RC-1779 - Mummy (from Usermontu's Coffin),Egyptian,26TH,Uncertain,3rd Intermediate,human mummy,Funerary,234.jpg
RC-1780 - Nebuchadnezzar II Cylinder,Mesopotamian,,604-562 BCE,Late Babylonian,Clay,Babylonian,297.jpg
RC-1791 - Osiris,Egyptian,,,,Bronze,Sculpture,686.jpg
RC-1792 - Anubis Amulet,Egyptian,,,,Bronze,Amulets,526.jpg
RC-1794 - Thoth Ibis Amulet,Egyptian,,,,Ceramic,Amulets,1018.jpg
RC-1797 - Isis Nursing Horus Amulet,Egyptian,,,,Clay,Amulets,1019.jpg
RC-1800 - Alabastron,Egyptian,28TH - PTOLEMAIC,400 - 200 BCE,Late Period,Glass,Toiletries,753.jpg
RC-1801 - Assurnasirpal Ii Tablet,Mesopotamian,,883 - 859 BCE,Neo Assyrian,Limestone,Assyrian,348.jpg
RC-1804 - Ibis Coffin,Egyptian,30TH,378 - 341 BCE,Late Period,Bronze,Sculpture,618.jpg
RC-1806 - Neith,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Wood,Sculpture,12.jpg
RC-1808 - Amehotep Iii Kohl Tube,Egyptian,18TH,1417 - 1379 BCE,New Kingdom,Faience,Toiletries,202.jpg
RC-1809 - Standing Isis Holding Horus,Egyptian,27 - 31ST,525 - 30 BCE,Late Period Or Ptole,Terracotta,Sculpture,158.jpg
RC-1810 - Plowing Man Model,Egyptian,12TH,1991-1785 BCE,Middle Kingdom,wood and paint,Funerary,672.jpg
RC-1811 - Female Head,Egyptian,18 - 20TH,1403 - 1080 BCE,New Kingdom,Limestone,Sculpture,658.jpg
RC-1812 - Flask,Egyptian,21 - 22 ND,1070-712 BCE,3rd Intermediate,Faience,Vessels,329.jpg
RC-1814 - Headrest,Egyptian,,2061-1784 BCE,Middle Kingdom,Wood,Furniture,491.jpg
RC-1816 - Canopic Jar and Lid,Egyptian,26TH,664-525 BCE,3rd Intermediate,Banded Calcite,Vessels,55.jpg
RC-1817 - Hout-An-Khoui Stele,Egyptian,,305 - 30 BCE,Ptolemaic,Limestone,Funerary,779.jpg
RC-1818 - Cosmetic Container,Mesopotamian,,1000 BCE,,,Babylonian,285.jpg
RC-1819 - Cylinder Seal,Mesopotamian,,2500 BCE,,Calcite,Sumerian,106.jpg
RC-1825 - Knife,Egyptian,,323 - 642 CE,Coptic/Byzantine,Bronze,Tools,197.jpg
RC-1826 - Unguent Jar,Egyptian,,,,Banded Calcite,Toiletries,1020.jpg
RC-1828 - Cymbal,Egyptian,,2857-2630 BCE,,Mixed Metal,Musical Instruments,607.jpg
RC-1829 - Priest/Prince,Egyptian,26TH,685-525 BCE,Late Period,Basalt,Sculpture,534.jpg
RC-1830 - Female Coffin/ Lower Part,Egyptian,19TH,1290-1224 BCE,New Kingdom,Wood,Funerary,833.jpg
RC-1835 - Necklace,Egyptian,,,Middle Kingdom,Faience,Jewelry,356.jpg
RC-1842 - Jar,Egyptian,,,Amarna,Clay,Vessels,342.jpg
RC-1874 - Water Jug,Mesopotamian,,1000 BCE,,Pottery,Persian,198.jpg
RC-1887 - Bracelet,Mesopotamian,,1000 BCE,,Spun Glass,Persian,245.jpg
RC-1898 - Dagger,Mesopotamian,,1000 BCE,,Bronze,Persian,281.jpg
RC-1899 - Dagger,Mesopotamian,,1000 BCE,,Bronze,Persian,270.jpg
RC-1934 - Papyrus Fragment,Egyptian,,500-600 CE,Coptic/Byzantine,Papyrus,Epigraphy,915.jpg
RC-1935 - Papyrus Fragment,Egyptian,,600 CE,Coptic/Byzantine,Papyrus,Epigraphy,74.jpg
RC-1938 - Battle Axe,Egyptian,11 - 12TH,2061-1784 BCE,Middle Kingdom,Wood,Tools,19.jpg
RC-1940 - Osiris,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Bronze,Sculpture,893.jpg
RC-1945 - Thoth Baboon,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Sandstone,Sculpture,706.jpg
RC-1956 - Amulet Necklace/ Double Strand,Egyptian,,,,Faience,Jewelry,412.jpg
RC-1957 - Razor,Egyptian,? - 20TH,BEFORE 1080 BCE,New Kingdom Or Befor,Bronze,Toiletries,159.jpg
RC-1962 - Cross,Egyptian,,323 - 642 CE,,Steatite,Ritual Objects,525.jpg
RC-1972 - Lamp,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,427.jpg
RC-1977 - Hawk,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Limestone,Sculpture,721.jpg
RC-2007 - Bast,Egyptian,27 - 31ST,525 - 404 BCE,Late Period,Wood,Sculpture,659.jpg
RC-2009 - Corinthian Aryballos,Greek,,525-343 BCE,Late Period,Clay,Toiletries,368.jpg
RC-2010 - Sobek,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,95.jpg
RC-2011 - Pectoral Scarab,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Stone,Amulets,330.jpg
RC-2017 - Scarab Wing Fragment,Egyptian,,,,Faience,Amulets,825.jpg
RC-2018 - Isis Nursing Horus,Egyptian,,,,Bronze,Sculpture,1021.jpg
RC-2023 - Hare Amulet,Egyptian,,,,Clay,Amulets,601.jpg
RC-2038 - Kneeling Hapi,Egyptian,27 - 31ST,525 - 30 BCE,Late Period-Ptolemaic,Bronze,Sculpture,521.jpg
RC-2056 - Oxyrhynchus Fish,Egyptian,,600-300 BCE,Saite To Ptolemaic,Bronze,Sculpture,455.jpg
RC-2058 - Cup,Egyptian,,1570-656 BCE,New Kingdom/Saite,Faience,Vessels,675.jpg
RC-2059 - Pen-Amun Coffin Post,Egyptian,18TH,1570-1293 BCE,New Kingdom,Wood,Funerary,760.jpg
RC-2060 - Thoth  Ibis with Shrine,Egyptian,25  - 31ST,712 - 30 BCE,Late Period,Bronze,Sculpture,1022.jpg
RC-2061 - Spoon,Egyptian,18 - 20TH,1554 - 1080 BCE,New Kingdom,Calcite,Vessels,818.jpg
RC-2063 - Horus Or Harmerty Bust,Egyptian,30TH TO PTOLEMAIC,380 - 30 BCE,Ptolemaic,Limestone,Sculpture,52.jpg
RC-2064 - Spouted Jar,Mesopotamian,,1000 BCE,,Grayware,Persian,539.jpg
RC-2065 - Imhotep,Egyptian,26 - 30TH,664 - 342 BCE,Late Period,Bronze,Sculpture,642.jpg
RC-2067 - Iry and Meru Stele Fragment,Egyptian,6TH,2290 - 2150 BCE,1st Intermediate,Limestone,Funerary,554.jpg
RC-2069 - Husband and Wife Relief Frag,Egyptian,7 - 10TH,2250-2035 BCE,1st Intermediate,Limestone,Epigraphy,319.jpg
RC-2070 - Akhnaton Prayer Relief Fragment,Egyptian,18TH,1350-1341 BCE,Amarna,Limestone,Epigraphy,275.jpg
RC-2071 - Ta'awa Coffin,Egyptian,25 - 26TH,664-525 BCE,3rd Intermediate,wood and paint,Funerary,76.jpg
RC-2074 - Bowl,,,31 BCE - 395 CE,Roman,Glass,Vessels,79.jpg
RC-2079 - Greek Hydria Handle,,,499 - 400 BCE,,Bronze,Vessels,141.jpg
RC-2080 - Scribe's Canopic Jar,Egyptian,19-20TH,1549-1069 BCE,New Kingdom,Banded Calcite,Vessels,83.jpg
RC-2081 - Incense Burner,Egyptian,27 - 31ST,525-325 BCE,Late Period,Bronze,Ritual Objects,487.jpg
RC-2084 - Babylonian Spirit House,Mesopotamian,,2600 BCE,Old Assyrian,Terracotta,Assyrian,352.jpg
RC-2085 - Hathor Aegis,Egyptian,27-30TH,525 - 343 BCE,Late Period,Bronze,Ritual Objects,692.jpg
RC-2089 - Shabti of Men,Egyptian,18TH,1570-1293 BCE,New Kingdom,Limestone,Ritual Objects,583.jpg
RC-2092 - Coffin Hand/ Left,Egyptian,,,,Wood,Funerary,488.jpg
RC-2130 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Stone,Jewelry,34.jpg
RC-2131 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Stone,Jewelry,606.jpg
RC-2137 - Hare Amulet,Egyptian,,,,Clay,Amulets,608.jpg
RC-2151 - Razor,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Toiletries,160.jpg
RC-2152 - Tweezers,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Toiletries,472.jpg
RC-2163 - Akhenaten Offering Relief Frag,Egyptian,18TH,1353 - 35 BCE,Amarna,Sandstone,Epigraphy,1023.jpg
RC-2171 - Cat Mummy,Egyptian,,1090 - 945 BCE,3rd Intermediate,Animal Remains,Funerary,929.jpg
RC-2179 - Jar,Egyptian,3 - 6TH,2686 - 2181 BCE,Old Kingdom,Calcite,Vessels,189.jpg
RC-2181 - Adze Model,Egyptian,,,New Kingdom - Late Per,Wood,Funerary,857.jpg
RC-2182 - Fish Mummy,Egyptian,,525-343 BCE,Late Period,Fish Remains,Funerary,821.jpg
RC-2183 - Offering Tray,Egyptian,,2250-2035 BCE,1st Intermediate,Terracotta,Ritual Objects,808.jpg
RC-2186 - Tadinanefer Coffin,Egyptian,,332 BCE-395 CE,Ptolemaic,Wood,Funerary,17.jpg
RC-2190 - Osiris and Anubis Relief Frag,Egyptian,18TH,1100 BCE,New Kingdom,Limestone,Epigraphy,16.jpg
RC-2191 - Surgical Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,722.jpg
RC-2192 - Surgical Spatula,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,24.jpg
RC-2193 - Surgical Scraping Spoon,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,390.jpg
RC-2194 - Surgical Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,435.jpg
RC-2195 - Surgical  Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,470.jpg
RC-2197 - Tablet,Mesopotamian,,1850 BCE,Sumerian,Clay,Sumerian,881.jpg
RC-2199 - Situlae,Egyptian,22ND,332 BCE - 395 CE,Greco-Roman,Bronze,Vessels,1024.jpg
RC-2204 - Crocodile Amulet,Egyptian,18TH,1600 BCE,New Kingdom,Faience,Amulets,422.jpg
RC-2208 - Female Bust,Egyptian,research for eighteenth,305 - 30 BCE,Ptolemaic,Limestone,Sculpture,614.jpg
RC-2209 - Bast,Egyptian,,,,Bronze,Sculpture,315.jpg
RC-2213 - Baboon Mummy,Egyptian,26TH - PTOLEMAIC,Uncertain,Late Per - Ptolemaic,Animal Remains,Funerary,372.jpg
RC-2220 - Bes Bust,Egyptian,,305 - 200 BCE,Ptolemaic,Egyptian Blue Faience,Sculpture,378.jpg
RC-2221 - Hathor Aegis,Egyptian,,767-525 BCE,Late Period,Bronze,Sculpture,1035.jpg
RC-2222 - Yeret-Hor-At Shawabti,Egyptian,26TH,664 - 610 BCE,Late Period,Limestone,Funerary,976.jpg
RC-2223 - Shawabti Fragment,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Calcite,Funerary,90.jpg
RC-2227 - Jar,Egyptian,1 - 2ND,3100-2705 BCE,Archaic Period,Banded Calcite,Vessels,379.jpg
RC-2228 - Votive Column,Egyptian,18TH,1360 - 1347 BCE,Amarna,Limestone,Ritual Objects,357.jpg
RC-2230 - Stele Fragment,Mesopotamian,,2900 - 2400 BCE,Sumerian,Schist,Sumerian,641.jpg
RC-2242 - Shawabti,Egyptian,,,,Wood,Ritual Objects,88.jpg
RC-2243 - Cat Head,Egyptian,27 - 31ST,525 - 30 BCE,Late Period,Bronze,Sculpture,820.jpg
RC-2244 - War Crown Fragment,Egyptian,18TH,1570-1293 BCE,Amarna ?,Faience,Sculpture,773.jpg
RC-2246 - Stele,Egyptian,,31 BCE - 395 CE,Late Roman,Limestone,Funerary,1025.jpg
RC-2247 - Coffin Fragment,Egyptian,1 - 2ND ?,PRE 1800 BCE,Early Dynastic ?,Terracotta,Funerary,636.jpg
RC-2250 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,333.jpg
RC-2251 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,903.jpg
RC-2252 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,734.jpg
RC-2266 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,479.jpg
RC-2292 - Orbiculus,Egyptian,,,Coptic/Byzantine,Linen,Textiles,1029.jpg
RC-2302 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,888.jpg
RC-2393 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,720.jpg
RC-2394 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,43.jpg
RC-2395 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,556.jpg
RC-2402 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,54.jpg
RC-2403 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,547.jpg
RC-2406 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,242.jpg
RC-2408 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,343.jpg
RC-2422 - Lamp Stand,Egyptian,,400 CE,Coptic/Byzantine,Bronze,Lamps,649.jpg
RC-2423 - Lamp with Cross,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,223.jpg
RC-2424 - Lamp with Cross,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,677.jpg
RC-2442 - Min Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Amulets,71.jpg
RC-2453 - Mummy Cloth Fragment,Egyptian,,,,Linen,Funerary,201.jpg
RC-2456 - Child's Sandal/Right,Egyptian,18TH,1554 - 1320 BCE,New Kingdom,Papyrus,Toiletries,26.jpg
RC-2469 - Ishtar Fragment,Mesopotamian,,1000 BCE,,,Persian,824.jpg
RC-2505 - Ring Mold,Egyptian,18TH,1550 - 1293 BCE,New Kingdom,Terra Cotta,Tools,570.jpg
RC-2508 - Uatch Amulet,Egyptian,,,,Faience,Amulets,445.jpg
RC-2509 - Tyet Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,36.jpg
RC-2511 - Mummy Eye,Egyptian,,,,Glass,Funerary,178.jpg
RC-2512 - Shirt,Egyptian,,,,Linen,Textiles,1026.jpg
RC-2560 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,207.jpg
RC-2561 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,870.jpg
RC-2562 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,240.jpg
RC-2563 - Shawabti/ Overseer,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,291.jpg
RC-2564 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,60.jpg
RC-2565 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,645.jpg
RC-2566 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,108.jpg
RC-2567 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,916.jpg
RC-2568 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,307.jpg
RC-2569 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,241.jpg
RC-2570 - Lion Padlock,Mesopotamian,,,,Bronze,Persian,871.jpg
RC-2572 - Pitcher,,,,,Glass,Vessels,257.jpg
RC-2574 - Husband and Wife,Egyptian,7 - 10TH,First Intermediate Period,1st Intermediate,Limestone,Epigraphy,473.jpg
RC-2643 - Marriage Contract,Egyptian,,300-400 CE,Coptic Byzantine,Papyrus,Epigraphy,1027.jpg
RC-2644 - Papyrus Fragment,Egyptian,,685-705 CE,Coptic/Byzantine,Papyrus,Epigraphy,100.jpg
RC-2647 - Paper Fragment,Egyptian,,642 CE - ?,Arab Conquest,Paper,Epigraphy,902.jpg
RC-2727 - Contract Tablet Fragment,Mesopotamian,,2350 BCE,Early Dynastic,Clay,Sumerian,15.jpg
RC-2731 - Contract Tablet Fragment,Mesopotamian,,2350 BCE,Early Dynastic,Clay,Sumerian,466.jpg
RC-2742 - Arrow Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,884.jpg
RC-2743 - Arrow Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,609.jpg
RC-2755 - Faience Tiles,Egyptian,3RD,2663-2195 BCE,Old Kingdom,Faience,Architecture,923.jpg
RC-2756 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,482.jpg
RC-2757 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,878.jpg
RC-2758 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,407.jpg
RC-2759 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,716.jpg
RC-2760 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,778.jpg
RC-2761 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,701.jpg
RC-2762 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,124.jpg
RC-2763 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,358.jpg
RC-2764 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,136.jpg
RC-2765 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,566.jpg
RC-2766 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,338.jpg
RC-2767 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,892.jpg
RC-2768 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,313.jpg
RC-2769 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,413.jpg
RC-2770 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,350.jpg
RC-2771 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,203.jpg
RC-2772 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,419.jpg
RC-2773 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,914.jpg
RC-2774 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,389.jpg
RC-2775 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,648.jpg
RC-2776 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,163.jpg
RC-2777 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,924.jpg
RC-2778 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,51.jpg
RC-2779 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,403.jpg
RC-2780 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,190.jpg
RC-2781 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,840.jpg
RC-2782 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,506.jpg
RC-2783 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,171.jpg
RC-2784 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,463.jpg
RC-2785 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,180.jpg
RC-2786 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,791.jpg
RC-2787 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,115.jpg
RC-2788 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,621.jpg
RC-2789 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,13.jpg
RC-2790 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,461.jpg
RC-2791 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,99.jpg
RC-2792 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,410.jpg
RC-2793 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,802.jpg
RC-2794 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,377.jpg
RC-2795 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,650.jpg
RC-2796 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,571.jpg
RC-2797 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,218.jpg
RC-2798 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,769.jpg
RC-2799 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,447.jpg
RC-2800 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,381.jpg
RC-2801 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,495.jpg
RC-2802 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,169.jpg
RC-2803 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,552.jpg
RC-2804 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,860.jpg
RC-2805 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,262.jpg
RC-2806 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,732.jpg
RC-2807 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,63.jpg
RC-2808 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,298.jpg
RC-2809 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,557.jpg
RC-2810 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,671.jpg
RC-2811 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,44.jpg
RC-2812 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,689.jpg
RC-2813 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,316.jpg
RC-2814 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,217.jpg
RC-2815 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,332.jpg
RC-2816 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,167.jpg
RC-2817 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,62.jpg
RC-2818 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,453.jpg
RC-2819 - Tile,Egyptian,,,Old Kingdom,Faience,,360.jpg
